Label SCR_L_ST_KAO_014_START
Chapter: ”15.狂い出した歯車”
<span class="name">網代慎平</span>: （突然「中止しろ」なんて言ったら、　小弓場さんを混乱させた上に……）
<span class="name">網代慎平</span>: （彼女を傷つけてしまう可能性がある……）
<span class="name">網代慎平</span>: え～っと……このあとの打ち合わせって、欠席したりできないの？
<span class="name">小弓場かおり</span>: ……どうして？
<span class="name">網代慎平</span>: ライブのこと気づいたの、実は大物アイドルが日都ヶ島でライブするって噂をネットで読んだからなんだ。
<span class="name">網代慎平</span>: しかも小弓場さん狙いのストーカーが、その島に前乗りしてるっていう書き込みもあったらしくてさ。
<span class="name">網代慎平</span>: そんなところに小弓場さんみたいなアイドルが来るなんて危ないよ。
<span class="name">小弓場かおり</span>: だったら……どうしろって言うの？
<span class="name">網代慎平</span>: そうだ……今日は打ち合わせには参加しないで、一旦フェリーで本土まで戻ったらどうかな？
<span class="name">小弓場かおり</span>: そんなことできないよ。大事な打ち合わせなんだよ？
<span class="name">網代慎平</span>: で、でも、小弓場さんの身の安全が……！
<span class="name">小弓場かおり</span>: 網代くんが私のことを心配してくれているのはわかるけど、やっぱり無理だよ。
<span class="name">小弓場かおり</span>: それに……早めに島に来て、打ち合わせしたいって言ったのは私なの。
<span class="name">小弓場かおり</span>: 故郷の空気を感じてから話をしたい……そう言って予定を組んでもらったのに、私からキャンセルできないよ。
<span class="name">網代慎平</span>: じゃ、じゃあ、打ち合わせが終わったら、一旦本土に戻って、祭り当日にまた来るとか！
<span class="name">小弓場かおり</span>: そんなの無理だよ……。
<span class="name">小舟澪</span>: 慎ちゃん……。あんまり無理ばっか言うたら、かおりちゃん困らすだけやで？
<span class="name">網代慎平</span>: だけど……！
<span class="name">小弓場かおり</span>: 網代くん、何度言われても無理。プロとしてそれはできないよ。
<span class="name">小弓場かおり</span>: 私は今回……やっと大好きな島のためになにかできると思って帰ってきたの。
<span class="name">小弓場かおり</span>: 多少の危険や無理をしてでも、やり遂げたいと思ってる。
<span class="name">網代慎平</span>: それは、わかってるけど――
<span class="name">小弓場かおり</span>: ううん、ちっともわかってない。
<span class="name">網代慎平</span>: えっ……！？
<span class="name">小弓場かおり</span>: 私の気持ち……簡単にわかるなんて言わないで……！
<span class="name">網代慎平</span>: こ、小弓場さん……。
<span class="name">網代慎平</span>: （そうだった……　ここでのオレはまだ小弓場さんと　再会したばかり）
<span class="name">網代慎平</span>: （そんなオレが小弓場さんの気持ちを　わかると言っても……）
<span class="name">小弓場かおり</span>: 網代くんには、応援してほしかったんだけどな。
<span class="name">小弓場かおり</span>: 澪ちゃん。私、やっぱり宿に戻るよ。
<span class="name">小舟澪</span>: えっ！？で、でも……！
<span class="name">小弓場かおり</span>: せっかく気を遣ってくれたのに……ごめんなさい！
<span class="name">網代慎平</span>: 待って、小弓場さん！部屋からの配信は絶対やめてくれ！
<span class="name">網代慎平</span>: 本当にごめん！でも危険なのは本当なんだ！
<span class="name">網代慎平</span>: 島にいる間は、部屋から出ないでくれ！
<span class="name">小舟澪</span>: かおりちゃん、行ってもた……。
<span class="name">網代慎平</span>: （オレの声、届いたかな……）
<span class="name">小舟澪</span>: ほんまどないしたん？慎ちゃん、なんか変やで？
<span class="name">網代慎平</span>: な、なんでもないよ……。本気で心配してるだけや。
<span class="name">網代慎平</span>: （小弓場さんには、　あとで電話して謝るとして……）
<span class="name">網代慎平</span>: （できれば、その時に改めて　配信中止についてお願いしてみよう）
<span class="name">網代慎平</span>: （あの惨劇を食い止めるためなら……　どんなことでもやってやる！）
<span class="name">網代慎平</span>: …………。
<span class="name">網代慎平</span>: （葬儀会場……。　ここには、あの人がいるはずだ）
<span class="name">網代慎平</span>: 雁切さん！
<span class="name">雁切真砂人</span>: ああ、慎平くん。今日は色々ありがとう。
<span class="name">網代慎平</span>: こちらこそ、ありがとうございました。
<span class="name">網代慎平</span>: あの……雁切さん、このあと、商工会と小弓場かおりさんの打ち合わせに合流しますよね？
<span class="name">雁切真砂人</span>: このあとって……いやいや、ちょっと待ってください。
<span class="name">雁切真砂人</span>: 慎平くん、なんでそのこと知ってるんです？
<span class="name">網代慎平</span>: えっ？あ、ああ、それは……。
<span class="name">網代慎平</span>: あ、そうだ。実は港で小弓場さんと会ったんです。彼女は小学生の頃の同級生で……。
<span class="name">雁切真砂人</span>: あ～なるほどォ。それで事情を聞いてたんですか。なら、隠す必要ありませんね。
<span class="name">網代慎平</span>: 雁切さん、ひとつお願いがあるんですけど。
<span class="name">雁切真砂人</span>: なんでしょう？
<span class="name">網代慎平</span>: 今日の打ち合わせで、イベントの告知方法なんかも話し合われると思うんですけど……。
<span class="name">網代慎平</span>: 小弓場さんのチャンネル配信は、しないで欲しいんです。
<span class="name">雁切真砂人</span>: ええ……？
<span class="name">網代慎平</span>: このままだとこの島でとんでもないことが起きてしまうんです。ですから……お願いします！
<span class="name">雁切真砂人</span>: そんなこと言われてもねェ……。商工会さんと小弓場さんの事務所側の意向もありますし。
<span class="name">網代慎平</span>: そ、そこをなんとか……！
<span class="name">雁切真砂人</span>: いやいや、ちょっと待ってください。そんなに言われても困りますって。
<span class="name">雁切真砂人</span>: だいたいとんでもないことって、一体なにが起きるんです？
<span class="name">網代慎平</span>: それは……詳しくは言えないですけど、小弓場さんの配信を利用して、悪事を働こうとしている連中がいるんです！
<span class="name">雁切真砂人</span>: その情報はどこから？
<span class="name">網代慎平</span>: それは……ネットの書き込みで……。
<span class="name">雁切真砂人</span>: その書き込み、見せてもらえます？
<span class="name">網代慎平</span>: あっ……。
<span class="name">網代慎平</span>: すみません、適当に検索して見つけた書き込みだったので……今すぐには見せられません。
<span class="name">雁切真砂人</span>: ……そうですか。でもそれやと打ち合わせで議題に出すのも難しいでしょう。
<span class="name">網代慎平</span>: そ、そんな……！
<span class="name">雁切真砂人</span>: だいたい慎平くん、どうして配信のことまで知ってるんです？
<span class="name">雁切真砂人</span>: それって、このあとの打ち合わせで初めて話し合うことやのに、よう知ってましたね。
<span class="name">網代慎平</span>: そ、それは……。
<span class="name">雁切真砂人</span>: …………。
<span class="name">雁切真砂人</span>: ……まあ、落ち着いてください。潮ちゃんのこともあって、混乱してるんやないですか？
<span class="name">雁切真砂人</span>: 今日はもうゆっくり休んで、あとのことは私らに任せてください。
<span class="name">網代慎平</span>: は……はい……。
<span class="name">小弓場かおり</span>: みんな、こんばんわ～～～！
<span class="name">小弓場かおり</span>: 小弓場かおりの『こゆばチャンネル』！今夜もちょっとだけ夜ふかしして、私と一緒におしゃべりしましょう！
<span class="name">網代慎平</span>: くそっ、配信が始まってしもた……。
<span class="name">網代慎平</span>: （あれから商工会にも掛け合ってみたけど、　結局うまくいかなかった）
<span class="name">網代慎平</span>: （小弓場さんにも何度か電話やメールで　連絡してみたけど……）
<span class="name">小弓場かおり</span>: 今私は、とある場所に来ていま～す。いったいどこでしょう？
<span class="name">網代慎平</span>: （まったく応答してくれなかった。　もう愛想尽かされてしまったのかも……）
<span class="name">小弓場かおり</span>: えっ、早く答えを言えって？もーっ、せっかちさんがいるぞ。
<span class="name">小弓場かおり</span>: じゃあ正解言っちゃおうかな。答えは……。
<span class="name">小弓場かおり</span>: 和歌山県の日都ヶ島でーす！
<span class="name">網代慎平</span>: ……えっ？
<span class="name">小弓場かおり</span>: 発表しま～す！なんと私、小弓場かおりは……！
<span class="name">小弓場かおり</span>: ７月２４日、ここ日都ヶ島で、ソロライブ＆トークショーを開催することになりました！
<span class="name">網代慎平</span>: なっ……場所を明かした！？
<span class="name">網代慎平</span>: い、一体どうなってんだ！？
<span class="name">網代慎平</span>: 前回の経験では、最後までライブの開催場所は明かされなかったはずなのに……！
<span class="name">小弓場かおり</span>: ほんとは今回の生配信ライブ、シークレットライブの予定だったんだけど……。
<span class="name">小弓場かおり</span>: 私の強い希望で、ちゃんと事前告知する形に変更させてもらいました！
<span class="name">網代慎平</span>: （なぜ変わった……？　オレが小弓場さんを怒らせたからか？）
<span class="name">小弓場かおり</span>: そんなわけで開催場所の告知が直前になっちゃってゴメンね～。
<span class="name">小弓場かおり</span>: ライブは明後日の予定だから、現地で参加できる人は限られちゃうかもね……。
<span class="name">小弓場かおり</span>: えっ？「オレ、現地行くよ！」って？嬉しい～！
<span class="name">小弓場かおり</span>: 日都ヶ島は私の生まれ故郷で……とっても大好きな場所なの！
<span class="name">小弓場かおり</span>: だから……よかったらみんなも、遊びに来てくれると嬉しいですっ。
<span class="name">網代慎平</span>: …………。
<span class="name">網代慎平</span>: （すごいコメントの数だ……。　このままだと前回以上の人たちが、　島に押し寄せてくるかもしれない）
<span class="name">網代慎平</span>: （ダメだ……何とかしないと！）
<span class="name">網代慎平</span>: 「日都ヶ島には行くな、パニックになるぞ！」。
<span class="name">網代慎平</span>: （みんな、頼む！　このコメントを見て考え直してくれ！！）
<span class="name">小弓場かおり</span>: ……というわけで！次回はライブ＆トークショー生配信でお会いしましょう！
<span class="name">小弓場かおり</span>: 『こゆばチャンネル』でした！おやすみなさい！
<span class="name">網代慎平</span>: （くそ、他のコメントに流されて、　誰もオレのコメントに気づかない……）
<span class="name">網代慎平</span>: （そもそも、こんなこと信じる奴なんて……）
<span class="name">網代慎平</span>: （いや、諦めちゃダメだ！　どうにかして、みんなに伝えてやる！）
