Chapter: ”24.慎平が好き”
<span class="chapter-reading_char-name">網代慎平</span>: （これじゃあ、まるで本当に……　潮が帰って来たみたいじゃないか）
<span class="chapter-reading_char-name">ウシオ</span>: なあ、慎平！
<span class="chapter-reading_char-name">ウシオ</span>: 私な……もう１回、慎平に会うたら言おうと思てた事あんねん。
<span class="chapter-reading_char-name">網代慎平</span>: え……？
<span class="chapter-reading_char-name">ウシオ</span>: 私な。
<span class="chapter-reading_char-name">ウシオ</span>: 慎平が好きっ！
<span class="chapter-reading_char-name">網代慎平</span>: …………。
<span class="chapter-reading_char-name">網代慎平</span>: ……は？
<span class="chapter-reading_char-name">網代慎平</span>: （こ、こいつ……今、何て？　す……好き！？　それってどういう意味っ！？）
<span class="chapter-reading_char-name">網代慎平</span>: おまっ……なっ……！！何を言い出すんっ！？
<span class="chapter-reading_char-name">網代慎平</span>: し、死んでアタマおかしなったんとちゃうかっ！！！！
<span class="chapter-reading_char-name">ウシオ</span>: ……へへっ！そうかもっ。
<span class="chapter-reading_char-name">網代慎平</span>: ……ッ。
<span class="chapter-reading_char-name">ウシオ</span>: なんか……。アタマ、ボーーとするし……。
<span class="chapter-reading_char-name">網代慎平</span>: …………。
<span class="chapter-reading_char-name">網代慎平</span>: （だ……だまされるな！！　フカンしろオレ！）
<span class="chapter-reading_char-name">網代慎平</span>: （潮は一昨日、棺に納まって。　オレたちが、アランと澪と三人で――　火葬のスイッチを押したんだ）
<span class="chapter-reading_char-name">網代慎平</span>: （潮は灰になった、もうこの世にはいない）
<span class="chapter-reading_char-name">網代慎平</span>: （潮のふりをしやがって……ッ。　一体何が目的だ！？）
<span class="chapter-reading_char-name">網代慎平</span>: ……<span class="chapter-reading_dict">おまえ</span>は何をしにここに来た！？
<span class="chapter-reading_char-name">ウシオ</span>: …………。
<span class="chapter-reading_char-name">ウシオ</span>: そんなん……。こっちが聞きたいわ……。
<span class="chapter-reading_char-name">ウシオ</span>: 死んだら……神様のとこ行くんちゃうん……？
<span class="chapter-reading_char-name">網代慎平</span>: もっ……目的は！？おまえら、何がしたいんやッ！？
<span class="chapter-reading_char-name">ウシオ</span>: え……？……何……したいってか――
<span class="chapter-reading_char-name">ウシオ</span>: ……ッ！
<span class="chapter-reading_char-name">ウシオ</span>: 慎平……あの花火……。まさか今日は２４日……！？
<span class="chapter-reading_char-name">網代慎平</span>: あ、うん……。
<span class="chapter-reading_char-name">ウシオ</span>: ウソォ！？たっ、大変やん！！！！
<span class="chapter-reading_char-name">ウシオ</span>: したいことあった！！
<span class="chapter-reading_char-name">網代慎平</span>: えっ！
<span class="chapter-reading_char-name">ウシオ</span>: 慎平とお祭り行きたいっ！！
<span class="chapter-reading_char-name">網代慎平</span>: あっ！？お、おい！！
<span class="chapter-reading_char-name">ウシオ</span>: 慎平っ！早くゥーーーーッ！！
<span class="chapter-reading_char-name">網代慎平</span>: …………。
<span class="chapter-reading_char-name">網代慎平</span>: （自分を影だと思ってない……）
<span class="chapter-reading_char-name">網代慎平</span>: （こいつは自分のことを……　本当に『潮』だと思ってんのか！？）
