--choice On the First Run
Chapter: ”65.疑似ループ、そして団結”
<span class="name">小弓場かおり</span>: あは、あはは、ありがとうございます。
<span class="name">凸村哲</span>: 慎平くん、なんで先に電話で言わんの！？！？かおりちゃんに会えるんやったら心の準備してきたのによォ！！！
<span class="name">ウシオ</span>: ちょっとやかましいで、凸村さん！！声デカすぎ！！
<span class="name">凸村哲</span>: せやかて潮ちゃん…………。
<span class="name">凸村哲</span>: ……エッ……？う、うしおちゃ…………！？！？
<span class="name">凸村哲</span>: えええええええええ！！
<span class="name">ウシオ</span>: 結局、かおりちゃんも呼んだんやな。
<span class="name">網代慎平</span>: 色々考えたけど、結局これがベストやと思う。
<span class="name">網代慎平</span>: ただ、影に姿を見られるような行動は、避けてもらうつもりや。
<span class="name">ウシオ</span>: うん、それでええんちゃう？
<span class="name">網代慎平</span>: （小弓場さんが一人でいる以上、　スキャンされて記憶をコピーされる危険性が　高まる）
<span class="name">網代慎平</span>: （正直、そこまでならまだ許容できる範囲だろう）
<span class="name">網代慎平</span>: （もっとも悪いのは、　オレが彼女の死を把握できないこと――）
<span class="name">網代慎平</span>: （それにより、　小弓場さんの死が確定してしまうことだ）
<span class="name">網代慎平</span>: （小弓場さんに限らず、この中の誰かが　死んでしまっても、すぐにループできれば　助けられる可能性が高い）
<span class="name">網代慎平</span>: …………。
<span class="name">網代慎平</span>: （死ぬことを前提に行動してるなんて、　小弓場さんにはとても言えないな……）
<span class="name">ウシオ</span>: 慎平、全員に記憶見せ終わったで！
<span class="name">網代慎平</span>: 凸村さん、真っ青になってたな……。オレちょっと様子見て来るわ。
<span class="name">ウシオ</span>: はは、そうしちゃり。
<span class="name">小弓場かおり</span>: ……あの、小舟さん。
<span class="name">ウシオ</span>: ん、どないしたん？
<span class="name">小弓場かおり</span>: その……たいしたことじゃないんだけどね。部屋に戻ってから、いろいろ考えたの。
<span class="name">小弓場かおり</span>: 小舟さんは……網代くんと二人で、あんなに大変な戦いを続けてきたんだって。
<span class="name">ウシオ</span>: あはは、ごめんなァ。私の記憶、キツかったやろ？もしかしてまだ具合――
<span class="name">小弓場かおり</span>: そうじゃなくて……。
<span class="name">ウシオ</span>: えっ？
<span class="name">小弓場かおり</span>: 私は……あなたにはなれないけど……。
<span class="name">小弓場かおり</span>: 自分の力で、自分のできることで、大事な人を助けるために戦おうって決めたの。
<span class="name">小弓場かおり</span>: そ、それだけ言いたかったの！深い意味とか聞かないでね……！
<span class="name">ウシオ</span>: かおりちゃん、それって……。
<span class="name">小弓場かおり</span>: …………。
<span class="name">ウシオ</span>: それってめっちゃカッコエエわ！かおりちゃんって強いんやな！
<span class="name">小弓場かおり</span>: 私が強い……？そ、そうかな？
<span class="name">ウシオ</span>: 頼りにしてるで！かおりちゃんが仲間になってくれてよかったわ！
<span class="name">南方ひづる</span>: 潮、来てくれ。武器について確認したい。
<span class="name">ウシオ</span>: はい、今行きます！
<span class="name">小弓場かおり</span>: カッコイイ、か………。
”凸村　哲”
<span class="name">凸村哲</span>: …………。
<span class="name">凸村哲</span>: マジかよ…………マジかよ……。
<span class="name">凸村哲</span>: ムリやろ……！！あんな化物と戦うとかっ……み……みんなに教えて、避難させた方が……。
<span class="name">根津銀次郎</span>: みんな？島民だけでも７００人やぞ……混乱を招くだけや。
<span class="name">凸村哲</span>: 本土から応援を……いやでも刑事さんも殺されてた……。クソッ！！　そもそもなんて説明して助けてもらうんや……！？
<span class="name">凸村哲</span>: ってか、オレなんであの洞窟で殺されたんスかね？
<span class="name">根津銀次郎</span>: 知るか！！
<span class="name">根津銀次郎</span>: ウシオが見た場面しか見られへんさけな……。
<span class="name">根津銀次郎</span>: しかし確かなんは、あん時、あんたとひづるのおかげで慎平はループできたっちゅうこっちゃ。
<span class="name">根津銀次郎</span>: あんたビビリ倒しちゃあるがよ、やる時はやる男なんかもな。
<span class="name">凸村哲</span>: え！！
<span class="name">凸村哲</span>: そっ……そうか！！オレは……やる時はやる男！！！！
”菱形　窓”
<span class="name">菱形窓</span>: …………。
<span class="name">菱形朱鷺子</span>: …………。
<span class="name">菱形窓</span>: トキコ…………オレは…………。
<span class="name">菱形朱鷺子</span>: アホちゃう……。変な気ィ起こさんといてって……言うたのに……。私のこと庇って死ぬとか……。
<span class="name">菱形朱鷺子</span>: ホンマにアホ……っ……。
<span class="name">菱形窓</span>: 慎平は……島のみんなを助けるつもりでおる。オレやトキコのこともや。
<span class="name">菱形窓</span>: あいつは、おまえが影どもに利用されて殺されんのを見て、今かておまえを助けようとしてる。
<span class="name">菱形窓</span>: オレらは……あいつの力になっちゃらなあかん……！！
<span class="name">小舟澪</span>: ……トキコ。
<span class="name">菱形朱鷺子</span>: っ！
<span class="name">菱形窓</span>: 澪……。
<span class="name">小舟澪</span>: …………。
<span class="name">菱形朱鷺子</span>: ごめんなさい、澪……潮さんの遺体を…………。ごめんなさいっ…………。
<span class="name">小舟澪</span>: …………。
<span class="name">小舟澪</span>: お姉ちゃんは許した……。
<span class="name">小舟澪</span>: …………私は。私は怒ってる。めちゃくちゃ怒ってるよ。
<span class="name">菱形朱鷺子</span>: ……ごめんなさい……。
<span class="name">小舟澪</span>: でもね。慎ちゃんの力でこうやって戻れた。だからまだやり直せる。
<span class="name">小舟澪</span>: 私はやり直すから。
<span class="name">菱形朱鷺子</span>: …………ッ……。
<span class="name">小舟澪</span>: 来て、慎ちゃんが呼んでる。
”網代　慎平”
<span class="name">網代慎平</span>: （……その後、根津さんは偵察のため　ライフルを持って近くの山へ移動した）
<span class="name">網代慎平</span>: （小弓場さんはオレたちとの繋がりがわからないよう　身を隠して作戦に備えてもらった）
<span class="name">網代慎平</span>: （彼女の一番の目的は、影に姿を見られないこと　とも伝えてある）
<span class="name">網代慎平</span>: （戦いの予感が膨らんでいく……）
<span class="name">網代慎平</span>: …………。
<span class="name">網代慎平</span>: （出ないな……アラン。　いつもなら、もう帰ってる時間なのに……）
<span class="name">網代慎平</span>: （戦闘が始まる前に　無事を確認しておきたかったのにな……）
<span class="name">網代慎平</span>: ……ッ！？
<span class="name">網代慎平</span>: （何だ、この感覚は……！？）
<span class="name">網代慎平</span>: （目の奥が痛む……。　あの崖は、もしかして――）
<span class="name">ウシオ</span>: 慎平？
<span class="name">網代慎平</span>: ………………。
<span class="name">ウシオ</span>: 大丈夫？
<span class="name">網代慎平</span>: あ、ああ……。
<span class="name">網代慎平</span>: その、ちょっと緊張して……。ホンマにやるん？こんな、ステージの上なんかで……。
<span class="name">南方ひづる</span>: 作戦にはリーダーが必要だ。みんなキミの話を聞きたがっている。
<span class="name">網代慎平</span>: でも、やっぱリーダーとか無理ですオレ……せ、先生にまとめてもろた方がっ……。
<span class="name">ウシオ</span>: 何言うてん、慎平しかおらんやろが！！慎平の力がなかったら、みんなこうやって集まってへんのやから！！
<span class="name">菱形窓</span>: そやで、慎平！
<span class="name">小舟澪</span>: 慎ちゃん。
<span class="name">南方ひづる</span>: …………。
<span class="name">ウシオ</span>: ……んっ。
<span class="name">網代慎平</span>: ……じ……じゃあ……その……えっと……。
<span class="name">網代慎平</span>: オレは……昔から、物事をフカンするクセがあって……。
<span class="name">網代慎平</span>: こう……もう一人の自分が、高い所から自分を見て、物を考えてる感じです。
<span class="name">網代慎平</span>: そしたら自分の立ち位置とか、周りの状況とか色々見わたせて。
<span class="name">網代慎平</span>: 全部自分が正しいっていうか、失敗しないし、失敗してもどっか他人事っていうか…………。
<span class="name">網代慎平</span>: そうやってなんか、上手いこと生きてるつもりでした。
<span class="name">網代慎平</span>: ……でも。潮が死んで、後悔しかないんです。
<span class="name">ウシオ</span>: …………。
<span class="name">網代慎平</span>: なんであいつに電話の一本もしてやんなかったのかとか、正月くらい帰って来ればよかったとか……。
<span class="name">網代慎平</span>: 最後に頼まれたカレーをちゃんと作ってやればよかったとか……。フカンしてたはずやのに、できてなかった……。
<span class="name">網代慎平</span>: オレは間違ってばかりです。もう今さらどうしようもないことを悔むんは、ほんま辛いです……。
<span class="name">網代慎平</span>: これから二度と後悔しないなんてこと、無理やろうけど……。
<span class="name">網代慎平</span>: こんな気持ちにだけはもう……なりたくない。
<span class="name">網代慎平</span>: だからオレは、ちょっとでも後悔しそうやなって……マズイなって思たら、それを回避する……。
<span class="name">網代慎平</span>: 全力で逃げようって決めました。
<span class="name">網代慎平</span>: ……でもそしたら、何かをしないって選択にはあんまならなくて。
<span class="name">網代慎平</span>: やりたないことでも、やっぱやっといたらよかったって――
<span class="name">網代慎平</span>: 後から思うくらいなら、やってみよっていうか……。
<span class="name">網代慎平</span>: 今は……はい……そう思ってます。つまり……えっと……。
<span class="name">網代慎平</span>: たとえ最後に失敗して……死ぬんだとしても……命を使い切ってやったって、そう思いたいんです。
<span class="name">南方ひづる</span>: …………。
<span class="name">網代慎平</span>: みんな見たと思うんですけど、生前の潮は、人知れず影と戦ってました。しおりちゃんを助けようとして、命を落としました。
<span class="name">小舟澪</span>: …………。
<span class="name">網代慎平</span>: あいつのことやから……悔しかったと思います。ほんまに……悔しかったはずです。
<span class="name">ウシオ</span>: …………。
<span class="name">網代慎平</span>: オレはあいつの遺志を継ぎます。あの夏祭りの終わりを繰り返させはしません！
<span class="name">網代慎平</span>: ここにいるみんなとならそれができると信じてます。
<span class="name">菱形窓</span>: ……慎平……。
<span class="name">網代慎平</span>: ――とは、言いません。
<span class="name">菱形窓</span>: 言わんのっ！！？
<span class="name">網代慎平</span>: みんなの命の保証はないからです。戦って勝てるのかどうかもわかりません。
<span class="name">網代慎平</span>: でも、逃げたい人は逃げてくれとも言いません。全部、オレが後悔しないための、オレの我儘です。
<span class="name">網代慎平</span>: ここでみんなに無理強いしとけばよかったって、後で思いたくないから、無理強いします。
<span class="name">網代慎平</span>: 武器を手に取って、オレといっしょに戦ってください！
<span class="name">凸村哲</span>: ア……アホとちゃうか！！慎平くんのために死ね言うんかよ！？オ……オレらはおまえの駒ちゃうぞ！！
<span class="name">ウシオ</span>: 駒やなんて思てへんよ！
<span class="name">ウシオ</span>: だって……最初に一人で逃げることもできたのに、慎平は戦い続けてるやんか！！
<span class="name">ウシオ</span>: それってみんなを助けたいからやん？みんなのこと大事に思てるからやんか！！
<span class="name">ウシオ</span>: 確かに言い方はいっつも悪いよ。でも慎平はみんなの味方や！！
<span class="name">ウシオ</span>: 好きな人の味方して何か文句あんのか！！！！
<span class="name">小舟澪</span>: 私もっ！！
<span class="name">凸村哲</span>: みっ……澪ちゃん！！？
<span class="name">小舟澪</span>: 私かて！慎ちゃんのことっ――
<span class="name">ウシオ</span>: …………！
<span class="name">菱形朱鷺子</span>: …………！
<span class="name">小舟澪</span>: ……信じてる……！！
<span class="name">菱形窓</span>: オレもや慎平ェ、オレは一生おまえの味方やからな！！これから何がどうなってもや！それだけは変わらんっ！！！
<span class="name">菱形朱鷺子</span>: ……みなさん……ご存知なんですか？影がどのくらいの数この島におるんかを。現状勝ち目はありませんよ。
<span class="name">凸村哲</span>: そやそや！もっと言うたれ！！
<span class="name">菱形朱鷺子</span>: でも……。どうせ一度は死んだ命……慎平さんに預けます。
<span class="name">凸村哲</span>: なァ！！？
<span class="name">凸村哲</span>: み……みんなどうかしてるで！！！
<span class="name">凸村哲</span>: 逃げたいやつ逃げたらエエやんけ！オレらと……大事な人だけでも明日の朝イチのフェリーでよォ！
<span class="name">南方ひづる</span>: フェリーは危険だぞ？　船員に影がいた。私が到着した今朝の時点ですでにな。
<span class="name">凸村哲</span>: …………！！
<span class="name">南方ひづる</span>: もうヤツらを駆除するしか道はないのだ。
<span class="name">凸村哲</span>: ク……クソッ！そんな……クソッ！！！
<span class="name">凸村哲</span>: わかったよ……！！やったろやないかァ！！！！チクショーーーーッ！！
<span class="name">網代慎平</span>: ……ありがとう、みんな……。
<span class="name">凸村哲</span>: 別に慎平くんのためやないで！！みんなのアイドルかおりちゃんを守るため！！それから、エリカちゃんのためにオレは戦う！！！
<span class="name">網代慎平</span>: エリカちゃん？
<span class="name">小舟澪</span>: あ、ホラ、スナック都の――
キーＴＩＰＳ【<span class="dict">６度目のＥＮＤ</span>】を入手しました。
--choiceEnd
--choice If Have Key Tip 6度目のＥＮＤ
<span class="name">根津銀次郎</span>: ループの限界が近いやと……！？
<span class="name">網代慎平</span>: はい……オレは死ぬたびに時間の「限界」まで戻ります。
<span class="name">網代慎平</span>: 限界より前には戻れないので、限界イコール始点と考えてください。
<span class="name">網代慎平</span>: 前回の死亡は７時５５分頃。今回の始点は７時００分でした。
<span class="name">網代慎平</span>: そこから時間が進んで……現在、７時２０分。オレが一定の速さで「前」へ歩いてるイメージです。
<span class="name">網代慎平</span>: そしてこの限界も「前」へ進んでいて、今のところオレの歩みより遅いから――
<span class="name">網代慎平</span>: 普通に生きてれば追いつかれることはないですが……。
<span class="name">網代慎平</span>: その速度は死ぬ度に速くなってます。
<span class="name">菱形窓</span>: もし今慎平が死ねば、次の始点は！？
<span class="name">網代慎平</span>: そやな……今の感じやとおそらく、７時すぎごろか……。
<span class="name">菱形窓</span>: それ……ついさっきやないか！！
<span class="name">網代慎平</span>: そしてまた前回と同じ時間もしくはもっと早くに殺されてしまえば、次はないと思う。
<span class="name">網代慎平</span>: オレが足踏みしてる間に限界の方が「先」へ行くんや。
<span class="name">南方ひづる</span>: 戻ってもそこに足場がない……か。
<span class="name">網代慎平</span>: はい……オレはあの……真っ暗な崖の下へ落ちる。
<span class="name">凸村哲</span>: オイオイ、それホンマか！？慎平くんがそう思てるだけちゃうんか！
<span class="name">南方ひづる</span>: 観測者の彼が見たのだ。事実だろう。
<span class="name">南方ひづる</span>: その崖は観測限界、『<span class="dict">事象の地平線</span>』だ。
<span class="name">小弓場かおり</span>: イベントホライズン……。
<span class="name">南方ひづる</span>: 落ちればキミの死は確定し、後の世界はハイネが見たものが事実として定着するだろう。
<span class="name">菱形朱鷺子</span>: ハイネはその事に気付いて慎平さんを殺しに来た。
<span class="name">小舟澪</span>: 最悪っ！！
<span class="name">根津銀次郎</span>: ……なぜ儂は見つかった？
<span class="name">網代慎平</span>: 以前、オレと潮が部屋で影のミオに襲われたとき、根津さんのライフルのおかげで倒せましたよね。あの作戦がハイネにバレてたんだと思います。
<span class="name">網代慎平</span>: あれを知ってるのはオレと潮、南雲先生、根津さんの四人だけ……。
<span class="name">南方ひづる</span>: おそらく私だ……。キミたちはスキャンされていないし、根津には免疫がある。
<span class="name">南方ひづる</span>: あの周の最後のシーンで、私は致命傷を負っていた……。
<span class="name">南方ひづる</span>: あそこに至るまでに交戦し、記憶を読まれたのだろう。
<span class="name">根津銀次郎</span>: ウシオ、影どうしの情報交換はどないするんや？おまえみたいに、自分の記憶を別のヤツに見せるんか？
<span class="name">ウシオ</span>: うん。アレはみんなすると思う。あとは普通に話したり書いたり……でもハイネはテレパシーも使う！
<span class="name">網代慎平</span>: ハイネはテレパシーで、簡単な命令を「子供たち」に聞かせることができるみたいですが……。
<span class="name">網代慎平</span>: 潮は平気ですよ！ハイネの命令は効かんみたいです。
<span class="name">南方ひづる</span>: ……ハイネに接触した影は、私たちと同じく疑似ループすると考えていいだろう。シデは確実にループしている。
<span class="name">根津銀次郎</span>: オイ、まてよ！データはループを持ち越せるんやったな？
<span class="name">根津銀次郎</span>: ヤツらに儂のライフルをコピーされとる可能性は！？もしコピーされとったら、ここは危険やぞ！
<span class="name">ウシオ</span>: それは大丈夫！コピー品は、それをプリントした影から離れすぎると、自然に消えるから。
<span class="name">ウシオ</span>: いろいろ試してて気付いたん。だいたい半径５０ｍほどの中でしかコピー品は存在できやん！
<span class="name">根津銀次郎</span>: つまり、長距離射程のライフルをコピーしてもたったの５０ｍしか弾が飛ばんと……。
<span class="name">根津銀次郎</span>: いくら弾が無限になっても、それやったら意味ないな……。
<span class="name">網代慎平</span>: 前回は敵が上手やったけど、収穫もありました。
<span class="name">網代慎平</span>: この刻印でハイネは、オレの居場所もわかるってことです。
<span class="name">網代慎平</span>: だから来る。ハイネはオレの死を見るために、絶対来る……！！
<span class="name">網代慎平</span>: 今度はハッキリそう言い切れる。今夜ここで、決着をつけます。
<span class="name">根津銀次郎</span>: 作戦は？前回と同じっちゅうわけにいかんぞ。
<span class="name">網代慎平</span>: はい、オレはこう考えてます――
--choice 「根津さんのライフルがカギです」
<span class="name">網代慎平</span>: 根津さんのライフルがカギです。この中で一番攻撃力が高い武器はおそらくライフル。それをコピーするんです。
<span class="name">根津銀次郎</span>: なんやとォ！？
<span class="name">ウシオ</span>: 射程が５０ｍになってまうよ！？弾が無限になっても、それじゃ……！
<span class="name">網代慎平</span>: ああ、根津さんの遠距離射撃には頼れなくなってしまうが……。
<span class="name">南方ひづる</span>: それ以上の効果が得られるということか。
<span class="name">網代慎平</span>: オレの考えでは、そうです。
<span class="name">根津銀次郎</span>: ……ほならコピーするんはええが、気がかりなことがあらァ。
<span class="name">根津銀次郎</span>: ハイネにはあのシデとかいう影がくっついとるが、あいつには「影縫い」が効かんかった。
<span class="name">根津銀次郎</span>: 「シデ」の平面は他の影と違う……いくら撃っても無意味かもしれやんぞ。
<span class="name">網代慎平</span>: ヒルコ洞で南雲先生がオレを撃った時、あいつらはマンホールを使ってそれを阻止しました。
<span class="name">網代慎平</span>: あれは盾にするためスキャンしたものだと思われます。
<span class="name">網代慎平</span>: 実戦の中で即座にそれを実体化できたことから考えても苦し紛れに使ったとは考えにくい……。
<span class="name">網代慎平</span>: つまり、シデもしくはハイネのどちらか……あるいは両者にはなにかしらの物理的弱点があるということです。
<span class="name">網代慎平</span>: まずはシデの立体を狙い、弱らせたところでハイネを狙います。
<span class="name">網代慎平</span>: 一撃で致命傷は無理だとして、相手が実体を持つ物質である以上、ライフルならば強い衝撃は与えられるはずです。
<span class="name">網代慎平</span>: 立体への攻撃を続けることで、うまくいけばシデの弱点も見付けられるかもしれません。
<span class="name">菱形朱鷺子</span>: ……シデを弱らせて……最終的にはハイネを狙うんですか？
<span class="name">網代慎平</span>: ……そうや。
<span class="name">網代慎平</span>: トキちゃんの言う通り、最終的な狙いはハイネです。
<span class="name">網代慎平</span>: 一度逃がしたとはいえ、ハイネには影縫いが効くことがわかっています。
<span class="name">南方ひづる</span>: マンホールをスキャンしていたのはハイネの影を守るためと考えるのが自然だな。
<span class="name">網代慎平</span>: ……そう思います。シデは不確定要素もありますが、ハイネは無敵じゃない……。そこが本命です。
<span class="name">菱形窓</span>: でも慎平、ライフルをコピー品にする意味あんのか？弾切れせんことより、射程のほうが……。
<span class="name">網代慎平</span>: 窓、弾切れせんだけやない。大きな利点がもう１つある――「仕掛け」を使えるってことや。
--choiceEnd
--choice 「火を使えないでしょうか」
<span class="name">網代慎平</span>: ……火を使えないでしょうか。これまでの戦いを経ての仮説ですが、影にはおそらく火が有効です。
<span class="name">菱形窓</span>: 確かに、旧病棟から地下に潜ったとき火炎放射器が効いたな。
<span class="name">菱形窓</span>: でも、全部の影に火が効くんかどうかはよう分かってへんのとちゃうか？
<span class="name">網代慎平</span>: そこは賭けになる……！
<span class="name">凸村哲</span>: オイオイオイオイィ！！！！ループの限界近いんやろ！？！？賭けとる場合かよ！？！？
<span class="name">網代慎平</span>: 地下で使ったのはスプレー缶を使った簡易的なもの。本物の火災と比べたら豆粒のような威力でしたが、それでもあれだけの数の野良影を撃退できました。
<span class="name">網代慎平</span>: ですから「影は炎に弱い」という仮説はそれなりにいいセンまでいってるじゃないかと思います。
<span class="name">凸村哲</span>: …………！
<span class="name">網代慎平</span>: シデには「影縫い」が効きませんでした。影平面への攻撃が効かないなら、他の可能性を試す必要があると思うんです。
<span class="name">小舟澪</span>: 哲さん、他にええアイデアあります？責任重大ですけど。
<span class="name">凸村哲</span>: ぐぅッ…………！分かった分かった！！もうどうにでもしてや！！！
<span class="name">南方ひづる</span>: 火を使うとして……どう使うつもりだ？ライターと殺虫剤の火炎放射器程度でヤツらを倒せるとは思えん。
<span class="name">小弓場かおり</span>: あっ……。
<span class="name">南方ひづる</span>: ん？
<span class="name">小弓場かおり</span>: <span class="dict">ガソリン</span>……とか……？
--choiceEnd
--choiceEnd
